"unique_id";"nom_unique";"camp_latitude";"camp_longitude";"type_camp";"iso3";"prison";"degurba";"clc_majoritaire_13_mixte";"eloignementschengen";"clc_majoritaire_2";"clc_majoritaire_3";"clc_majoritaire_23_mixte";"infrastructure_norm";"infrastructure_avant_conversion";"infrastructure_solidite";"infrastructure_confort";"pays_population";"pays_surfacekm2";"ville_proche_population";"distance_ville_proche";"mairie_distance";"atm_distance";"hopital_distance";"pharmacie_distance";"arret_bus_distance_km";"gare_distance_km";"medecin_clinique_hors_camp_distance_km";"dentiste_hors_camp_distance_km";"ecole_hors_camp_distance_km";"poste_hors_camp_distance_km";"distance_13_mines_decharges_chantiers";"distance_124_aeroport";"distance_123_zones_portuaires";"distance_122_reseaux_routiers";"distance_24_zones_agricoles_heterogenes";"distance_41_zones_humides_interieures";"distance_121_zi_zac";"distanceschengenkm";"eurostat_pop_2019";"camps_commune_surfacekm2";"capacite";"ecart_densites"
"1";"Kareç. Centre de détention fermé";41.3796;19.6107;"fermé";"ALB";"non";"banlieue";"Tissu urbain discontinu";"loin_externe";"11";"112";"112";"(manquant)";"pas de conversion";"(manquant)";"(manquant)";2854191;28336;1629904.31789474;37.3618442105263;7.713;8.62;5.301;7.267;5.1393;5.204;7.322;7.134;1.886;5.953;4.815;8.108;13.966;38.812;0;23.224;1.023;169.926;27861;92.21624318;125;0.47704478633539
"8";"Wels";48.1562;14.01384;"fermé";"AUT";"non";"banlieue";"Zones industrielles ou commerciales et installations publiques";"loin_interne";"12";"121";"121";"dur / police";"pas de conversion";"4";"(manquant)";8879920;83993;655268;39.867;1.206;0.728;0.797;0.844;0.097;0.396;0.797;0.95;0.616;0.557;2.351;2.726;27.568;2.314;1.767;53.983;0;69.584;62470;45.90996981;244.185385656292;1.10959853891714
"15";"Graz";47.07494;15.44119;"fermé";"AUT";"non";"ville";"Tissu urbain continu";"loin_interne";"11";"111";"111";"dur / police";"pas de conversion";"4";"(manquant)";8879920;83993;662531;0.25;0.721;0.141;0.825;0.479;0.18;0.477;0.289;0.292;0.38;0.584;6.323;7.57;118.864;1.782;2.412;55.553;1.663;62.127;291072;128.67410627;244.185385656292;1.33034330968914
"19";"St Polten";48.20096;15.6188;"fermé";"AUT";"non";"banlieue";"Tissu urbain continu";"loin_interne";"11";"111";"111";"dur / police";"pas de conversion";"4";"(manquant)";8879920;83993;3004660;84.508;0.731;1.062;1.787;0.895;0.022;0.561;0.854;0.439;0.215;0.357;8.246;38.245;54.822;0.771;0.718;56.582;0.421;104.268;55514;109.04790236;244.185385656292;0.682619245289672
"20";"Vordernberg";47.4596;14.99323;"fermé";"AUT";"non";"banlieue";"Territoires agricoles";"loin_interne";"23";"231";"23";"dur";"pas de conversion";"4";"(manquant)";8879920;83993;662531;80.213;5.749;4.649;16.352;5.578;0.641;1.949;4.669;5.447;4.477;1.244;8.103;33.199;104.813;11.234;3.398;29.041;3.707;132.579;11119;142.86206071;193;-0.133017139923307
"11";"Klagenfurt PAZ";46.61985;14.30716;"fermé";"AUT";"non";"ville";"Tissu urbain continu";"proche_interne";"11";"111";"111";"dur / police";"pas de conversion";"4";"(manquant)";8879920;83993;256003;3.397;0.63;0.399;0.424;0.401;0.091;0.748;0.424;0.359;0.214;0.536;2.377;2.535;18.533;0.35;3.092;3.278;1.047;29.58;101300;119.95942939;244.185385656292;0.902409094221684
"5";"Linz";48.30697;14.30442;"fermé";"AUT";"non";"ville";"Zones industrielles ou commerciales et installations publiques";"loin_interne";"12";"121";"121";"dur / police";"pas de conversion";"4";"(manquant)";8879920;83993;655268;4.007;1.86;0.722;0.306;0.54;0.297;1.913;0.268;0.335;0.554;0.717;6.432;10.299;0.654;1.102;1.826;41.632;0;42.122;206595;95.50009508;244.185385656292;1.31095004272227
"22";"Wien Familienschubhaft Zinnergasse";48.168;16.47402;"fermé";"AUT";"non";"ville";"Tissu urbain discontinu";"loin_interne";"11";"112";"112";"dur";"pas de conversion";"4";"(manquant)";8879920;83993;3004660;12.668;4.688;0.278;4.25;0.249;0.17;3.261;2.611;2.73;2.019;0.439;6.305;5.769;0.706;3.445;1.757;32.888;0.042;52.494;1911191;413.46705327;50;1.64069722283366
"6";"Innsbruck";47.2707;11.40005;"fermé";"AUT";"non";"ville";"Tissu urbain discontinu";"proche_interne";"11";"112";"112";"dur / police";"pas de conversion";"4";"(manquant)";8879920;83993;353941;3.712;1.05;0.283;0.514;0.673;0.144;0.52;0.253;0.167;0.458;0.129;20.466;2.859;160.9807;0.441;1.555;12.677;1.599;26.52;131961;104.52131649;244.185385656292;1.07707476690514
"10";"Bludenz";47.15594;9.82109;"fermé";"AUT";"non";"banlieue";"Tissu urbain continu";"proche_interne";"11";"111";"111";"dur / police";"pas de conversion";"4";"(manquant)";8879920;83993;166273;66.121;0.359;0.084;0.537;0.075;0.101;0.666;0.31;9.022;0.416;0.083;2.157;40.919;160.9807;0.299;0.879;13.908;0.134;20.657;14845;30.0218412;244.185385656292;0.669976918648102
